iter	Passed	Remaining
0	144	144695
1	145	72639
2	146	48616
3	146	36585
4	147	29327
5	147	24492
6	148	21041
7	148	18469
8	149	16483
9	150	14873
10	150	13561
11	152	12516
12	152	11598
13	153	10796
14	153	10102
15	154	9492
16	154	8956
17	155	8479
18	156	8057
19	156	7670
20	157	7330
21	157	7017
22	158	6728
23	158	6464
24	159	6219
25	159	5992
26	160	5781
27	161	5589
28	161	5408
29	162	5240
30	162	5082
31	163	4932
32	163	4793
33	164	4664
34	164	4538
35	165	4431
36	166	4322
37	166	4220
38	167	4121
39	167	4025
40	168	3943
41	169	3856
42	169	3772
43	169	3692
44	170	3618
45	171	3546
46	171	3477
47	171	3410
48	172	3346
49	172	3284
50	173	3224
51	173	3166
52	174	3110
53	174	3056
54	174	3006
55	175	2959
56	176	2913
57	176	2868
58	177	2825
59	177	2783
60	178	2742
61	178	2702
62	179	2663
63	179	2626
64	180	2589
65	180	2556
66	181	2521
67	181	2488
68	182	2457
69	182	2426
70	183	2397
71	183	2369
72	184	2341
73	185	2321
74	186	2294
75	186	2267
76	186	2241
77	187	2216
78	188	2192
79	188	2169
80	189	2146
81	189	2123
82	189	2098
83	190	2077
84	191	2056
85	191	2035
86	192	2014
87	192	1994
88	192	1975
89	193	1956
90	194	1938
91	194	1919
92	194	1900
93	195	1882
94	195	1864
95	196	1847
96	196	1830
97	197	1814
98	197	1798
99	198	1782
100	198	1767
101	199	1752
102	199	1737
103	200	1723
104	200	1709
105	201	1695
106	201	1682
107	202	1668
108	202	1655
109	203	1642
110	203	1629
111	203	1616
112	204	1604
113	204	1592
114	205	1580
115	205	1568
116	206	1556
117	206	1544
118	207	1532
119	207	1521
120	207	1510
121	208	1499
122	208	1488
123	209	1478
124	209	1468
125	210	1459
126	210	1448
127	211	1438
128	211	1429
129	212	1419
130	212	1410
131	213	1400
132	213	1391
133	213	1382
134	214	1373
135	214	1364
136	215	1355
137	215	1347
138	216	1339
139	216	1331
140	217	1323
141	217	1314
142	217	1306
143	218	1298
144	218	1290
145	219	1282
146	219	1274
147	220	1267
148	220	1259
149	221	1252
150	221	1245
151	221	1238
152	222	1231
153	222	1224
154	223	1217
155	223	1210
156	224	1203
157	224	1196
158	224	1189
159	225	1182
160	225	1175
161	225	1168
162	226	1162
163	226	1156
164	227	1150
165	227	1145
166	228	1138
167	228	1132
168	229	1126
169	229	1120
170	230	1115
171	230	1109
172	230	1104
173	231	1098
174	231	1093
175	232	1087
176	232	1083
177	233	1077
178	233	1073
179	234	1067
180	234	1062
181	235	1057
182	235	1052
183	236	1047
184	236	1041
185	236	1036
186	237	1032
187	237	1027
188	238	1022
189	238	1018
190	239	1013
191	239	1008
192	240	1003
193	240	998
194	240	994
195	241	989
196	241	985
197	242	980
198	242	976
199	243	972
200	243	967
201	243	963
202	244	959
203	244	955
204	245	951
205	245	946
206	246	942
207	246	938
208	246	934
209	247	930
210	247	926
211	248	922
212	256	945
213	256	941
214	256	938
215	257	934
216	257	930
217	258	926
218	258	922
219	258	918
220	259	914
221	259	910
222	260	906
223	260	902
224	261	899
225	261	895
226	261	891
227	262	888
228	262	884
229	263	881
230	263	877
231	264	874
232	264	870
233	264	867
234	265	863
235	265	860
236	266	857
237	266	854
238	267	850
239	267	847
240	268	845
241	268	842
242	269	839
243	269	835
244	270	832
245	270	829
246	271	826
247	271	823
248	272	820
249	272	817
250	272	814
251	273	811
252	273	808
253	274	805
254	274	802
255	275	799
256	275	796
257	275	793
258	276	790
259	276	787
260	277	784
261	277	781
262	278	779
263	278	776
264	278	773
265	279	770
266	279	767
267	280	765
268	280	762
269	280	759
270	281	756
271	281	754
272	282	751
273	282	748
274	283	746
275	283	743
276	283	740
277	284	738
278	284	736
279	285	733
280	285	731
281	286	728
282	286	726
283	287	724
284	287	721
285	288	719
286	288	717
287	289	714
288	289	712
289	290	710
290	290	707
291	290	705
292	291	703
293	292	701
294	292	699
295	293	696
296	293	694
297	293	692
298	294	690
299	294	687
300	295	685
301	295	683
302	296	681
303	296	678
304	296	676
305	297	674
306	297	672
307	298	669
308	298	667
309	299	665
310	299	663
311	299	661
312	300	659
313	300	657
314	301	655
315	301	653
316	302	651
317	302	649
318	303	646
319	303	644
320	303	642
321	304	640
322	304	638
323	305	636
324	305	634
325	306	632
326	306	630
327	306	628
328	307	626
329	307	624
330	308	622
331	308	620
332	308	618
333	309	616
334	309	614
335	310	613
336	310	611
337	311	609
338	311	607
339	311	605
340	312	603
341	312	601
342	313	600
343	313	598
344	314	596
345	314	594
346	315	593
347	315	591
348	316	589
349	316	588
350	317	586
351	317	584
352	318	582
353	318	581
354	319	579
355	319	578
356	319	576
357	320	574
358	320	572
359	321	571
360	321	569
361	322	567
362	322	566
363	322	564
364	323	562
365	323	560
366	324	559
367	324	557
368	325	555
369	325	554
370	325	552
371	326	550
372	326	549
373	327	548
374	328	547
375	328	545
376	329	543
377	329	542
378	329	540
